LAT,LON,CO,O3,PM025,,max lat,min lat,,,,,,
40.262,-80.12,68.952,30.453,2.9652,,40.532,40.262,,,,,,
40.264,-80.12,68.952,30.453,2.9652,,max lon,min lon,,,,,,
40.266,-80.12,68.951,30.453,2.9652,,-79.824,-80.12,,,,,,
40.268,-80.12,68.951,30.453,2.9652,,,,,,,,,
40.269,-80.12,68.951,30.453,2.9652,,,,,,,,,
40.271,-80.12,68.951,30.453,2.9652,,,,,,,,,
40.273,-80.12,68.95,30.453,2.9652,,,,,,,,,
40.275,-80.12,68.95,30.453,2.9653,,,,,,,,,
40.277,-80.12,68.95,30.453,2.9653,,,,,,,,,
40.278,-80.12,68.949,30.453,2.9653,,,,,,,,,
40.28,-80.12,68.949,30.453,2.9653,,,,,,,,40.38,40.48
40.282,-80.12,68.949,30.453,2.9653,,,,,,,,-79.83,-80.12
40.284,-80.12,68.948,30.453,2.9653,,,,,,,,,
40.286,-80.12,68.948,30.453,2.9653,,,,,,,,,
40.287,-80.12,68.947,30.453,2.9653,,,,,,,,,
40.289,-80.12,68.947,30.454,2.9653,,,,,,,,,
40.291,-80.12,68.946,30.454,2.9653,,,,,,,,,
40.293,-80.12,68.945,30.454,2.9653,,,,,,,,,
40.295,-80.12,68.945,30.454,2.9653,,,,,,,,,
40.296,-80.12,68.944,30.454,2.9653,,,,,,,,,
40.298,-80.12,68.943,30.454,2.9653,,,,,,,,,
40.3,-80.12,68.942,30.454,2.9654,,,,,,,,,
40.302,-80.12,68.941,30.454,2.9654,,,,,,,,,
40.304,-80.12,68.94,30.454,2.9654,,,,,,,,,
40.305,-80.12,68.939,30.455,2.9654,,,,,,,,,
40.307,-80.12,68.938,30.455,2.9654,,,,,,,,,
40.309,-80.12,68.936,30.455,2.9654,,,,,,,,,
40.311,-80.12,68.935,30.455,2.9655,,,,,,,,,
40.313,-80.12,68.933,30.456,2.9655,,,,,,,,,
40.314,-80.12,68.931,30.456,2.9655,,,,,,,,,
40.316,-80.12,68.929,30.456,2.9655,,,,,,,,,
40.318,-80.12,68.927,30.457,2.9656,,,,,,,,,
40.32,-80.12,68.924,30.457,2.9656,,,,,,,,,
40.322,-80.12,68.921,30.458,2.9656,,,,,,,,,
40.323,-80.12,68.917,30.458,2.9657,,,,,,,,,
40.325,-80.12,68.913,30.459,2.9657,,,,,,,,,
40.327,-80.12,68.908,30.459,2.9658,,,,,,,,,
40.329,-80.12,68.903,30.46,2.9659,,,,,,,,,
40.331,-80.12,68.896,30.461,2.966,,,,,,,,,
40.332,-80.12,68.888,30.463,2.9661,,,,,,,,,
40.334,-80.12,68.879,30.464,2.9662,,,,,,,,,
40.336,-80.12,68.868,30.466,2.9663,,,,,,,,,
40.338,-80.12,68.854,30.468,2.9665,,,,,,,,,
40.34,-80.12,68.837,30.471,2.9667,,,,,,,,,
40.341,-80.12,68.816,30.474,2.967,,,,,,,,,
40.343,-80.12,68.789,30.478,2.9674,,,,,,,,,
40.345,-80.12,68.754,30.483,2.9678,,,,,,,,,
40.347,-80.12,68.709,30.49,2.9684,,,,,,,,,
40.349,-80.12,68.649,30.499,2.9692,,,,,,,,,
40.35,-80.12,68.57,30.511,2.9702,,,,,,,,,
40.352,-80.12,68.465,30.527,2.9716,,,,,,,,,
40.354,-80.12,68.331,30.547,2.9734,,,,,,,,,
40.356,-80.12,68.175,30.57,2.9755,,,,,,,,,
40.358,-80.12,68.026,30.592,2.9775,,,,,,,,,
40.359,-80.12,67.942,30.604,2.9786,,,,,,,,,
40.361,-80.12,67.969,30.6,2.9783,,,,,,,,,
40.363,-80.12,68.091,30.582,2.9766,,,,,,,,,
40.365,-80.12,68.249,30.559,2.9745,,,,,,,,,
40.367,-80.12,68.397,30.537,2.9725,,,,,,,,,
40.368,-80.12,68.518,30.519,2.9709,,,,,,,,,
40.37,-80.12,68.61,30.505,2.9697,,,,,,,,,
40.372,-80.12,68.679,30.495,2.9688,,,,,,,,,
40.374,-80.12,68.732,30.487,2.9681,,,,,,,,,
40.376,-80.12,68.772,30.481,2.9676,,,,,,,,,
40.377,-80.12,68.802,30.476,2.9672,,,,,,,,,
40.379,-80.12,68.826,30.472,2.9669,,,,,,,,,
40.381,-80.12,68.845,30.469,2.9666,,,,,,,,,
40.383,-80.12,68.861,30.467,2.9664,,,,,,,,,
40.385,-80.12,68.873,30.465,2.9663,,,,,,,,,
40.386,-80.12,68.884,30.463,2.9661,,,,,,,,,
40.388,-80.12,68.892,30.462,2.966,,,,,,,,,
40.39,-80.12,68.899,30.461,2.9659,,,,,,,,,
40.392,-80.12,68.905,30.46,2.9658,,,,,,,,,
40.394,-80.12,68.911,30.459,2.9658,,,,,,,,,
40.395,-80.12,68.915,30.458,2.9657,,,,,,,,,
40.397,-80.12,68.919,30.458,2.9657,,,,,,,,,
40.399,-80.12,68.922,30.457,2.9656,,,,,,,,,
40.401,-80.12,68.925,30.457,2.9656,,,,,,,,,
40.402,-80.12,68.928,30.456,2.9655,,,,,,,,,
40.404,-80.12,68.93,30.456,2.9655,,,,,,,,,
40.406,-80.12,68.932,30.456,2.9655,,,,,,,,,
40.408,-80.12,68.934,30.455,2.9655,,,,,,,,,
40.41,-80.12,68.936,30.455,2.9654,,,,,,,,,
40.411,-80.12,68.937,30.455,2.9654,,,,,,,,,
40.413,-80.12,68.938,30.455,2.9654,,,,,,,,,
40.415,-80.12,68.94,30.455,2.9654,,,,,,,,,
40.417,-80.12,68.941,30.454,2.9654,,,,,,,,,
40.419,-80.12,68.942,30.454,2.9654,,,,,,,,,
40.42,-80.12,68.943,30.454,2.9653,,,,,,,,,
40.422,-80.12,68.944,30.454,2.9653,,,,,,,,,
40.424,-80.12,68.944,30.454,2.9653,,,,,,,,,
40.426,-80.12,68.945,30.454,2.9653,,,,,,,,,
40.428,-80.12,68.946,30.454,2.9653,,,,,,,,,
40.429,-80.12,68.946,30.454,2.9653,,,,,,,,,
40.431,-80.12,68.947,30.453,2.9653,,,,,,,,,
40.433,-80.12,68.947,30.453,2.9653,,,,,,,,,
40.435,-80.12,81.021,31.221,4.5304,,,,,,,,,
40.437,-80.12,136.85,30.295,10.981,,,,,,,,,
40.438,-80.12,136.85,30.295,10.981,,,,,,,,,
